accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
Ames 27028,26,91,False,Maize.Group.Ames.Panel.2010,Prides // New England Flint / Zacatecas 58,CAN,Breeding material,CL22
Ames 27032,26,67,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM145
Ames 27033,27,45,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM151
Ames 27034,26,66,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM155
Ames 27035,27,45,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM169
Ames 27036,27,44,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM182
Ames 27037,26,65,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CM234
Ames 27040,27,45,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CO120
Ames 27041,27,44,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CO150
Ames 27045,27,30,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CO220
Ames 27049,27,45,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CO252
Ames 27050,27,59,False,Maize.Group.Ames.Panel.2010,"INRA 258, INRA 258 is a double cross hybrid (W33 X F115) X (F7 X EP1)",CAN,Breeding material,CO255
Ames 27054,25,64,False,Maize.Group.Ames.Panel.Post.2010,,CAN,Breeding material,CO261
Ames 27056,27,44,False,Maize.Group.Ames.Panel.2010,Synthetic A.  Synthetic A is a 9 line synthetic with the majority of the lines from Central Europe.,CAN,Breeding material,CSJ2
Ames 27070,28,60,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W85 x CMV3,CAN,Breeding material,CM7
Ames 27109,25,41,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,,USA,Breeding material,Duplicate of PI 638551
Ames 27128,19,50,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,,THA,Breeding material,KUI2007
Ames 28170,27,47,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A619E
Ames 28181,16,16,False,,,USA,Breeding material,W117E
Ames 28332,25,25,False,Maize.Group.Ames.Panel.Post.2010,Funk 176A,USA,Breeding material,AR4
Ames 28333,25,50,False,,,USA,Breeding material,Fe2
Ames 28334,25,50,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,GN2-2
Ames 28335,25,50,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,L1546
Ames 28336,25,25,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,LE773
Ames 28337,25,49,False,Maize.Group.Ames.Panel.Post.2010,O.P. Orange Flint,ARG,Breeding material,P465
Ames 28338,25,49,False,Maize.Group.Ames.Panel.Post.2010,Single hybrid semi-dent,ARG,Breeding material,P578
Ames 28339,25,49,False,Maize.Group.Ames.Panel.Post.2010,CMI x ETO,ARG,Breeding material,P1338
Ames 28340,25,25,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,TEA
Ames 28341,25,25,False,Maize.Group.Ames.Panel.Post.2010,O.P. Orange Flint,ARG,Breeding material,ZN6
Ames 28360,28,33,False,Maize.Group.Ames.Panel.2010,(B37 x wx1)(B37^5)sel.,USA,Breeding material,Mo401
Ames 28415,19,22,False,Maize.Group.Ames.Panel.2010,(B73 x NC250) B73,USA,Breeding material,NC266B
Ames 28439,26,26,False,,,USA,Breeding material,Mexican Dent sh2 ####@@@@@RC#
Ames 28566,15,15,False,,,GTM,Landrace,Guatemala 597
Ames 28570,15,15,False,,,HTI,Landrace,Haiti 8
Ames 28571,15,29,False,,,HTI,Landrace,Haiti 11
Ames 28572,15,15,False,,,HTI,Landrace,Haiti 15
Ames 28573,15,29,False,,,CUB,Landrace,Cuba 60
Ames 28574,15,15,False,,,CUB,Landrace,CIMMYTMA 5658
Ames 28581,15,16,False,,,CUB,Landrace,Cuba 57
Ames 28582,15,16,False,,,CUB,Landrace,Cuba 62
Ames 28583,15,15,False,,,TTO,Landrace,Trinidad 1
Ames 28585,15,29,False,,,TTO,Landrace,Trinidad 13
Ames 28589,15,15,False,,,VEN,Landrace,Venezuela 576
Ames 28590,15,15,False,,,VEN,Landrace,Venezuela 604
Ames 28591,15,15,False,,,VEN,Landrace,Venezuela 981
Ames 28605,15,15,False,,,VEN,Landrace,Venezuela 318
Ames 28606,15,15,False,,,VEN,Landrace,Venezuela 405
Ames 28607,15,15,False,,,VEN,Landrace,Venezuela 331
Ames 28609,15,15,False,,,VEN,Landrace,Venezuela 352
Ames 28610,15,15,False,,,VEN,Landrace,Venezuela 432
Ames 28612,15,15,False,,,VEN,Landrace,Venezuela 489
Ames 28614,15,15,False,,,VEN,Landrace,Venezuela 775
Ames 28617,15,29,False,,,VEN,Landrace,Venezuela 312
Ames 28622,15,15,False,,,VEN,Landrace,Venezuela 414
Ames 28624,15,15,False,,,VEN,Landrace,Venezuela 767
Ames 28636,15,15,False,,,COL,Landrace,Cauca 331B
Ames 28751,15,16,False,,,BOL,Landrace,Bolivia 760
Ames 28752,15,16,False,,,BOL,Landrace,Bolivia 864
Ames 28771,25,25,False,,,CHL,Landrace,Chile 312
Ames 28772,25,25,False,,,CHL,Landrace,Chile 310
Ames 28780,25,25,False,,BRAZIL 2424,ARG,Breeding material,Argentina Group 7
Ames 28781,15,15,False,,,BRA,Breeding material,DES IB
Ames 28782,15,15,False,,,GUF,Landrace,French Guiana 790
Ames 28783,15,44,False,,,GUF,Landrace,French Guiana 792
Ames 28784,15,15,False,,BRAZIL 784 (Same as FRGU 784),GUF,Landrace,French Guiana Group 1
Ames 28785,16,30,False,,BRAZIL 785 ,GUF,Landrace,French Guiana Group 6
Ames 28786,15,16,False,,"BRAZIL 813, BRAZIL 815, BRAZIL 816, BRAZIL 817 ",GUY,Landrace,Guyana Group 2
Ames 28788,15,15,False,,,SUR,Landrace,Suriname 803
Ames 28805,15,15,False,,,ARG,Landrace,Argentina 482
Ames 28806,15,15,False,,,ARG,Landrace,Argentina 541
Ames 28807,15,15,False,,,ARG,Landrace,Argentina 485
Ames 28811,16,30,False,,,PRY,Landrace,Paraguay 422
Ames 28813,15,15,False,,,URY,Landrace,URG 660
Ames 28816,15,16,False,,,VEN,Breeding material,CHIRIMITO
Ames 28819,15,15,False,,,VEN,Breeding material,CANILLA
Ames 28820,15,29,False,,,VEN,Breeding material,CARIACO
Ames 28821,15,15,False,,,VEN,Breeding material,GUARIBERO
Ames 28822,15,29,False,,,VEN,Breeding material,PUYA
Ames 28823,15,15,False,,,VEN,Breeding material,CUBA YELLOW FLINT
Ames 28824,15,29,False,,,VEN,Breeding material,PUYA GRANDE
Ames 28825,15,29,False,,,VEN,Breeding material,NEGRITO
Ames 28827,15,29,False,,,COL,Breeding material,PIRA
Ames 28829,15,26,False,,,COL,Breeding material,CLAVO
Ames 28830,15,15,False,,,COL,Breeding material,GUIRUA
Ames 28831,15,15,False,,,COL,Breeding material,MAIZ DULCE
Ames 28832,15,15,False,,,COL,Breeding material,CARIACO
Ames 28833,15,29,False,,,COL,Breeding material,ANDAQUI
Ames 28840,15,15,False,,,COL,Breeding material,COMUN
Ames 28841,15,15,False,,,COL,Breeding material,YUCATAN
Ames 28842,15,15,False,,,COL,Breeding material,CACAO
Ames 28844,15,15,False,,,COL,Breeding material,NEGRITO
Ames 28845,15,15,False,,,COL,Breeding material,PUYA
Ames 28846,15,15,False,,,COL,Breeding material,PUYA GRANDE
Ames 28847,15,26,False,,,COL,Breeding material,CHOCOCENO
Ames 28851,15,23,False,,,ECU,Breeding material,CANDELA
Ames 28867,15,29,False,,,PER,Breeding material,PAGALADROGA
Ames 28870,15,15,False,,,PER,Breeding material,PIRICINCO
Ames 28873,15,15,False,,,PER,Breeding material,ALAZAN
Ames 28880,15,15,False,,,PER,Breeding material,CHANCAYANO BLANCO
Ames 28881,15,15,False,,,PER,Breeding material,CHANCAYANO PINTADO
Ames 28883,15,26,False,,,PER,Breeding material,PERLA
Ames 28884,15,29,False,,,PER,Breeding material,RIENDA
Ames 28887,15,15,False,,,PER,Breeding material,PARDO
Ames 28888,15,15,False,,,PER,Breeding material,ALEMAN
Ames 28890,15,15,False,,,PER,Breeding material,ARIZONA
Ames 28907,15,15,False,,,BOL,Breeding material,PEROLA
Ames 28908,15,15,False,,,BOL,Breeding material,YUNGUENO
Ames 28909,15,29,False,,,BOL,Breeding material,POJOSO CHICO
Ames 28911,15,15,False,,,BOL,Breeding material,CUBANO DENTADO
Ames 28913,15,15,False,,,BOL,Breeding material,PORORO
Ames 28914,15,29,False,,,BOL,Breeding material,COROICO BLANCO
Ames 28915,15,29,False,,,BOL,Breeding material,COROICO AMARILLO
Ames 28917,15,16,False,,,BRA,Breeding material,AVATI PICHINGA
Ames 28918,15,15,False,,,BRA,Landrace,Ames 28918
Ames 28919,15,29,False,,,BRA,Landrace,Ames 28919
Ames 28926,15,15,False,,,BRA,Landrace,Ames 28926
Ames 28927,29,75,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo27W
Ames 28929,28,48,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo29W
Ames 28930,28,30,False,Maize.Group.Ames.Panel.2010,See Hansey et.al. 2011,USA,Breeding material,Mo20W
Ames 28931,27,55,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo31W
Ames 28932,27,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo32W
Ames 28933,27,69,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo33
Ames 28934,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo36
Ames 28935,28,50,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo37
Ames 28936,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo38
Ames 28938,28,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo43
Ames 28940,27,54,False,Maize.Group.Ames.Panel.2010,K55 Ga(s),USA,Breeding material,Mo501W
Ames 28941,27,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo502W
Ames 28942,28,55,False,Maize.Group.Ames.Panel.2010,K6 Ga(s),USA,Breeding material,Mo506W
Ames 28943,29,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo508W
Ames 28944,29,51,False,Maize.Group.Ames.Panel.2010,Ga1-S version of N72,USA,Breeding material,Mo510W
Ames 28945,28,50,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo511W
Ames 28946,27,28,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo512AW
Ames 28947,28,56,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Mo512BW
Ames 28948,28,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 4a
Ames 28949,23,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,CI 12
Ames 28957,15,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Hi38 C1
Ames 28958,27,28,False,,,USA,Landrace,Reid Yellow Dent (Sears Strain)
Ames 28970,19,35,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 147 DS
Ames 28971,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 139 DS
Ames 28972,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 123 DS
Ames 28973,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 175
Ames 28974,28,69,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 104 DS
Ames 28975,19,34,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 147
Ames 28976,28,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 139 DS??
Ames 28977,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 316 DS
Ames 28978,16,27,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 238 DS
Ames 28979,28,42,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 230 DS
Ames 28980,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 352
Ames 28981,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 157 DS
Ames 28982,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 187-1
Ames 28983,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 187-2
Ames 28984,19,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 284
Ames 28985,28,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 188L
Ames 28986,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 402 DS
Ames 28987,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 233
Ames 28988,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 26 DS
Ames 28989,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD H10
Ames 28990,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 11 DS
Ames 28991,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 330
Ames 28992,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 363-1
Ames 28993,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 363-2
Ames 28994,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 188L DS
Ames 28995,16,19,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 221
Ames 28996,28,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 347 DS-1
Ames 28997,19,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 347 DS-2
Ames 28998,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 448 DS
Ames 28999,28,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 440 DS-1
Ames 29000,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 440 DS-2
Ames 29001,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA1
Ames 29002,28,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA2
Ames 29003,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA3
Ames 29004,27,35,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA4
Ames 29005,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA5
Ames 29006,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA6
Ames 29007,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA7
Ames 29008,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA8
Ames 29009,19,34,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA9
Ames 29010,20,35,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA10
Ames 29011,16,18,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA11
Ames 29012,16,18,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA12
Ames 29013,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA13
Ames 29014,16,19,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA14
Ames 29015,28,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA15
Ames 29016,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA16
Ames 29017,28,45,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA17
Ames 29018,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA18
Ames 29019,28,41,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA19
Ames 29020,19,34,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA20
Ames 29021,27,44,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD SA21
Ames 29022,27,54,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501
Ames 29023,28,55,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-1
Ames 29024,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-2
Ames 29025,24,29,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-3
Ames 29026,27,43,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-4
Ames 29027,24,29,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-5
Ames 29028,28,55,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD Sg1501-6
Ames 29029,25,75,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,AD Sg1501-7
Ames 29030,27,42,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,AD 370
Ames 29032,25,47,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,AD 99
Ames 29169,15,16,False,,,GTM,Landrace,Guatemala 65
Ames 29186,25,50,False,,,GEO,Landrace,GSMO 2-26
Ames 29447,25,35,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,W438
Ames 29448,17,18,False,Maize.Group.Ames.Panel.2010,"(155 x 105.306) x B73Ht/Mo17Ht .  155 is Agroceres 155 from Brazil and contains Azteca and Tuxpan Yellow Dent germplasm. 105.306 is a cross between Pioneer X105A from Jamaica containing Tuxpeno, ETO, and Cuban Flint germplasm; and Pioneer X306B also from Jamaica containing Chandelle, Tuson, Coastal Tropical Flint, and Cuban Flint germplasm.",USA,Breeding material,1416-1
Ames 30480,15,16,False,Maize.Group.Ames.Panel.2010,T173/Cr1-172.  Cr1-172 is a selection from GEM PE 1:N16 and was assigned PI 639498 and registered as GEMS-0035.,USA,Breeding material,T179
Ames 30522,17,17,False,Maize.Group.Ames.Panel.2010,VEN 568 (PI 485415) Race Araguito.,USA,Breeding material,MR01 (Araguito) S6
Ames 30523,25,73,False,Maize.Group.Ames.Panel.2010,PI 213793 (Assiniboine),USA,Breeding material,MR02 (Assiniboine)
Ames 30524,26,42,False,Maize.Group.Ames.Panel.2010,BOV 635 (PI 471892) Race Cateto.,USA,Breeding material,MR05 (Cateto) S6
Ames 30527,27,54,False,Maize.Group.Ames.Panel.2010,RGS VII (PI 298525) Race Cravo Riogranense.,USA,Breeding material,MR09 (Cravo Riogranense) S6
Ames 30528,27,51,False,Maize.Group.Ames.Panel.Post.2010,CHI 349 (NSL 42737) Race Cristalino Norteno.,USA,Breeding material,MR10 (Cristalino Norteno) S6
Ames 30529,26,26,False,Maize.Group.Ames.Panel.2010,Cuba 65 (PI 483800) Race Cuban Flint.,USA,Breeding material,MR11 (Cuban Flint) S6
Ames 30530,24,58,False,Maize.Set.Inbred.MR.Landrace.Lines,PI 317675 (Havasupai) Race Southwestern 12 Row.,USA,Breeding material,MR12 (Havasupai)
Ames 30532,24,24,False,Maize.Set.Inbred.MR.Landrace.Lines,NAY 15 (PI 490921) Race Reventador.,USA,Breeding material,MR18 (Reventador) S6
Ames 30533,26,60,False,Maize.Group.Ames.Panel.2010,PI 218130 from the Santo Domingo Pueblo in New Mexico. Race Southwestern 12 Row.,USA,Breeding material,MR19 (Santo Domingo)
Ames 30534,28,55,False,Maize.Group.Ames.Panel.2010,PI 269743 (Shoepeg)  The Shoepeg source accession is a white soft dent on a red cob variety that is relative early compared to other shoepeg/gourdseed collections.,USA,Breeding material,MR20 (Shoe Peg) S7
Ames 30535,16,31,False,Maize.Group.Ames.Panel.2010,TAMS 125 (PI 586646) Race Tuxpeno.,USA,Breeding material,MR22 (Tuxpeno) S6
Ames 30536,24,48,False,Maize.Group.Ames.Panel.2010,OAX 70 (Ames 28457) Race Zapalote Chico.,USA,Breeding material,MR23 (Zapalote Chico) S6
Ames 30537,27,52,False,Maize.Group.Ames.Panel.2010,BOV 587 (NSL 286673) Race Pororo.,USA,Breeding material,MR25 (Pororo) S5
Ames 30561,26,27,False,,See Hansey et.al. 2011,USA,Breeding material,W804G
Ames 30562,26,26,False,,See Hansey et.al. 2011,USA,Breeding material,W805G
Ames 30563,24,65,False,,See Hansey et.al. 2011,USA,Breeding material,W806G
Ames 30564,24,48,False,,See Hansey et.al. 2011,USA,Breeding material,W807G
Ames 30565,24,48,False,,See Hansey et.al. 2011,USA,Breeding material,W808G
Ames 30865,18,18,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC76W
Ames 30885,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-C X H95(5)
Ames 30886,17,18,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-D X H95(6)
Ames 30888,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-J X H95(5)
Ames 30889,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-JD4 X H95(5)
Ames 30890,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-JF69 X H95(7)
Ames 30891,17,18,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp1-JFC X H95(5)
Ames 30893,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp3-A X H95(5)
Ames 30894,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp4-A X H95(6)
Ames 30895,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp4-B X H95(3)
Ames 30896,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp5 X H95(4)
Ames 30897,17,18,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp7 X H95(4)
Ames 30898,25,39,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp8-A X H95(7)
Ames 30900,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp-G5JC X H95(5)
Ames 30903,25,25,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp-IG X H95(8)
Ames 30904,18,19,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Rp-JC13a X H95(4)
Ames 30906,25,49,False,,,USA,Breeding material,Oh43 Rpp9
Ames 30907,27,51,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,W64A Rpp9
Ames 30909,24,24,False,,,USA,Breeding material,KS23-4
Ames 30912,25,49,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,B14 Ht
Ames 30915,26,26,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,HPR-1
Ames 30916,28,28,False,Maize.Group.Ames.Panel.Post.2010,(WF9 x 38-11)38-11^2,USA,Breeding material,N 38A
Ames 30917,28,28,False,Maize.Group.Ames.Panel.Post.2010,M14 x W8 [Henderson]; Oh40B X W8 [Gerdes et al.],USA,Breeding material,Oh45
Ames 30918,26,26,False,Maize.Group.Ames.Panel.Post.2010,Leaming,USA,Breeding material,Pa36
Ames 30919,27,51,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Pa70
Ames 30920,27,27,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Pa884
Ames 30921,28,40,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,R 802
Ames 30922,28,28,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Va50
Ames 30978,24,36,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,Q66-7
Ames 31252,18,19,False,Maize.Group.Ames.Panel.2010,Open Pollinated Wf9,USA,Breeding material,GA224
Ames 31481,27,304,False,,,USA,Breeding material,(PH)B47 X PHZ51
Ames 32345,25,25,False,,,USA,Landrace,Bloody Butcher
Ames 32346,26,26,False,,,USA,Landrace,Braners YD
Ames 32347,26,26,False,,,USA,Landrace,Hills Blues and White
Ames 32348,26,26,False,,,USA,Landrace,Holdings Yellow Dent
Ames 32349,26,26,False,,,USA,Landrace,Honey June
Ames 32350,26,26,False,,,USA,Landrace,Kreids Yellow Dent
Ames 32351,26,26,False,,,USA,Landrace,Large Seed Yellow Dent
Ames 32352,26,26,False,,,USA,Landrace,McDonalds White
Ames 32353,26,26,False,,,USA,Landrace,Russlers Sweethorm
Ames 32354,25,25,False,,,USA,Landrace,Thomas White
Ames 32355,25,25,False,,,USA,Landrace,White Shoepeg
Ames 32356,26,26,False,,,USA,Landrace,White Shurcropper
Ames 32357,26,26,False,,,USA,Landrace,Wittiffs
Ames 32358,26,26,False,,,USA,Landrace,Yellow Tuxpan
Ames 32384,25,37,False,Maize.Group.Ames.Panel.Post.2010,(M14 x CI187-2)Oh45 x (Oh45A x Oh45T)Oh45,USA,Breeding material,Oh545
