sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN17776988,1,23877493800,ILLUMINA,WGS,PRJNA684330,10.4,PI 641063,16.0,False,Maize.Group.Ames.Panel.2010,TZEI 3,True
SAMN17776994,1,18808777500,ILLUMINA,WGS,PRJNA684330,8.2,PI 595563,18.0,False,Maize.Group.Ames.Panel.2010,CML 283,True
SAMN17776996,1,20574372900,ILLUMINA,WGS,PRJNA684330,8.9,,,False,,,False
SAMN17777002,1,13454329800,ILLUMINA,WGS,PRJNA684330,5.8,,,False,,,False
SAMN17777004,1,13884563400,ILLUMINA,WGS,PRJNA684330,6.0,PI 595527,20.0,False,Maize.Group.Ames.Panel.2010,CML 3,True
SAMN17777007,1,21601446600,ILLUMINA,WGS,PRJNA684330,9.4,,,False,,,False
SAMN17777011,1,12025191900,ILLUMINA,WGS,PRJNA684330,5.2,PI 639925,16.0,False,Maize.Group.Ames.Panel.2010,TZSTRI101,True
SAMN17901044,79,417151849974,ILLUMINA;PACBIO_SMRT,OTHER,PRJNA701651,181.4,PI 600959,36.0,False,Maize.Group.PVP,LH145,True
SAMN17901045,34,347927269771,ILLUMINA;PACBIO_SMRT,OTHER,PRJNA701654,151.3,PI 608767,13.0,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B84,True
SAMN17901046,58,458762044828,ILLUMINA;PACBIO_SMRT,OTHER,PRJNA701653,199.5,,,False,,,False
SAMN17901047,49,393193730097,ILLUMINA;PACBIO_SMRT,OTHER,PRJNA701652,171.0,PI 601321,33.0,False,Maize.Group.PVP,PHJ40,True
SAMN17901048,44,331591187219,ILLUMINA;PACBIO_SMRT,OTHER,PRJNA701650,144.2,PI 601009,35.0,False,Maize.Group.PVP,PHB47,True
SAMN18146009,1,45367663500,ILLUMINA,WGS,PRJNA706836,19.7,,,False,,,False
SAMN18146011,1,34446473100,COMPLETE_GENOMICS,WGS,PRJNA706836,15.0,,,False,,,False
SAMN18492123,1,45544210756,ILLUMINA,WGS,PRJNA718320,19.8,,,False,,,False
SAMN18572131,2,15000502166,PACBIO_SMRT,WGS,PRJNA701651,6.5,,,False,,,False
SAMN18576333,2,15534351730,PACBIO_SMRT,WGS,PRJNA701654,6.8,,,False,,,False
SAMN18603502,2,13920214475,PACBIO_SMRT,WGS,PRJNA701653,6.1,,,False,,,False
SAMN18698658,1,33898938884,ILLUMINA,WGS,PRJNA339461,14.7,PI 587148,36.0,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CI 66,True
SAMN18790513,2,436738748188,ILLUMINA;OXFORD_NANOPORE,WGS,PRJNA722693,189.9,,,False,,,False
SAMN19088476,1,71066387100,ILLUMINA,WGS,PRJNA728476,30.9,,,False,,,False
SAMN19088477,1,73057005900,ILLUMINA,WGS,PRJNA728476,31.8,,,False,,,False
